Date,Avg_rainfall,Full_reservoir_level,Live_capacity_FRL,Storage,Level,Storage_shift,delta_storage,predicted_inflow,estimated_outflow
2020-01-01,0.0,512.06,6.229,4.005,501.09,4.005,0.0,0.0,0.0
2020-01-01,0.0,512.06,6.229,4.005,501.09,4.005,0.0,0.0,0.0
2020-01-01,0.0,512.06,6.229,4.005,501.09,4.005,0.0,0.0,0.0
2020-01-01,0.0,512.06,6.229,4.005,501.09,4.005,0.0,0.0,0.0
2020-01-01,0.0,512.06,6.229,4.005,501.09,4.005,0.0,0.0,0.0
2020-01-01,0.0,512.06,6.229,4.005,501.09,4.005,0.0,0.0,0.0
2020-01-01,0.0,512.06,6.229,4.005,501.09,4.005,0.0,0.0,0.0
2020-01-01,0.0,512.06,6.229,4.005,501.09,4.005,0.0,0.0,0.0
2020-01-01,0.0,512.06,6.229,4.005,501.09,4.005,0.0,0.0,0.0
2020-01-01,0.0,512.06,6.229,4.005,501.09,4.005,0.0,0.0,0.0
2020-01-02,0.0,512.06,6.229,3.985,500.95,4.005,-0.020000000000000018,-0.0016256801832498446,0.018374319816750175
2020-01-02,0.004749476,512.06,6.229,3.985,500.95,3.985,0.0,0.0,0.0
2020-01-02,0.0,512.06,6.229,3.985,500.95,3.985,0.0,-0.0016256801832498446,-0.0016256801832498446
2020-01-02,0.003956775,512.06,6.229,3.985,500.95,3.985,0.0,0.0,0.0
2020-01-02,0.0,512.06,6.229,3.985,500.95,3.985,0.0,-0.0016256801832498446,-0.0016256801832498446
2020-01-02,0.0,512.06,6.229,3.985,500.95,3.985,0.0,-0.0016256801832498446,-0.0016256801832498446
2020-01-02,0.000306648,512.06,6.229,3.985,500.95,3.985,0.0,-0.00012571141277023642,-0.00012571141277023642
2020-01-02,0.0,512.06,6.229,3.985,500.95,3.985,0.0,-0.0016256801832498446,-0.0016256801832498446
2020-01-02,0.0,512.06,6.229,3.985,500.95,3.985,0.0,-0.0016256801832498446,-0.0016256801832498446
2020-01-02,0.0,512.06,6.229,3.985,500.95,3.985,0.0,-0.0016256801832498446,-0.0016256801832498446
2020-01-02,0.140833599,512.06,6.229,3.985,500.95,3.985,0.0,0.0,0.0
2020-01-03,0.541860597,512.06,6.229,3.985,500.95,3.985,0.0,-0.0014499999999999958,-0.0014499999999999958
2020-01-03,0.005423505,512.06,6.229,3.985,500.95,3.985,0.0,0.0,0.0
2020-01-03,0.024641379,512.06,6.229,3.985,500.95,3.985,0.0,-8.725000000000094e-05,-8.725000000000094e-05
2020-01-03,0.424608263,512.06,6.229,3.985,500.95,3.985,0.0,-0.0029185999999999913,-0.0029185999999999913
2020-01-03,0.0,512.06,6.229,3.985,500.95,3.985,0.0,-0.0016256801832498446,-0.0016256801832498446
2020-01-03,0.043308373,512.06,6.229,3.985,500.95,3.985,0.0,0.0,0.0
2020-01-03,0.740363711,512.06,6.229,3.985,500.95,3.985,0.0,0.0,0.0
2020-01-03,0.002137691,512.06,6.229,3.985,500.95,3.985,0.0,0.009786133333333315,0.009786133333333315
2020-01-03,0.0,512.06,6.229,3.985,500.95,3.985,0.0,-0.0016256801832498446,-0.0016256801832498446
2020-01-03,0.280562442,512.06,6.229,3.985,500.95,3.985,0.0,0.0,0.0
2020-01-03,0.106668938,512.06,6.229,3.985,500.95,3.985,0.0,0.0,0.0
2020-01-04,0.755318221,512.06,6.229,3.985,500.95,3.985,0.0,-0.0010036999999999963,-0.0010036999999999963
2020-01-04,1.08999147,512.06,6.229,3.985,500.95,3.985,0.0,0.0,0.0
2020-01-04,5.276415886,512.06,6.229,3.985,500.95,3.985,0.0,0.0029838000000000165,0.0029838000000000165
2020-01-04,0.400426548,512.06,6.229,3.985,500.95,3.985,0.0,-0.0004699999999999993,-0.0004699999999999993
2020-01-04,0.006027086,512.06,6.229,3.985,500.95,3.985,0.0,0.0,0.0
2020-01-04,0.993436001,512.06,6.229,3.985,500.95,3.985,0.0,0.0015028999999999915,0.0015028999999999915
2020-01-04,0.0,512.06,6.229,3.985,500.95,3.985,0.0,-0.0016256801832498446,-0.0016256801832498446
2020-01-04,2.970103514,512.06,6.229,3.985,500.95,3.985,0.0,0.0,0.0
2020-01-04,0.0,512.06,6.229,3.985,500.95,3.985,0.0,-0.0016256801832498446,-0.0016256801832498446
2020-01-04,0.154400834,512.06,6.229,3.985,500.95,3.985,0.0,0.0,0.0
2020-01-04,0.985489731,512.06,6.229,3.985,500.95,3.985,0.0,-0.00023119999999999586,-0.00023119999999999586
